Reservation-id,Reservation_Status
62931593,1
70586099,2
4230648,3
25192322,3
80931528,1
64700386,1
16938050,1
90487908,1
5595445,1
17502557,2
92229895,2
27386334,2
76765181,2
40697301,1
63963888,1
27282946,3
8696141,1
52621292,1
21821230,3
12316731,1
93926052,1
5935873,1
56971851,1
72701445,1
27017349,1
60891446,1
27044174,1
88238517,1
61900789,2
64883577,1
55378041,1
53798465,2
60781799,3
94752419,1
60425470,2
96410589,1
41224708,1
74972878,1
50824748,3
94524482,1
32635033,1
92183172,2
28323092,1
86372652,1
19585428,3
42025914,1
85872241,1
16826564,2
80812644,1
64063500,1
39990516,1
71506176,1
70061836,1
25308221,2
75655661,3
41754532,1
87457897,3
33332229,2
43160739,1
76748822,2
35120015,2
40281701,1
27470890,3
18603967,3
65425620,1
42460243,1
2260132,2
20252884,2
15834405,1
90882609,1
76274266,1
13465422,1
4154680,1
4039529,1
6464114,2
21522961,2
25365627,2
22773391,3
14737797,1
39495485,1
69167054,1
46999433,1
23730056,1
65593958,1
1794817,2
568595,1
25540175,3
84281735,1
43117940,3
61747940,1
83033730,1
50132508,2
91149643,1
22294408,1
83629935,2
90562901,2
23362123,2
25574994,1
96601070,1
9849013,1
61268622,1
71369022,1
56819796,3
44480838,1
46997829,1
19493041,1
44705080,1
68317504,1
99142742,1
10932581,1
34186149,1
14986967,1
75352672,1
73587761,1
24225853,2
31053495,2
7544562,1
84009718,1
12848784,1
22206000,1
71645476,2
63933616,1
98523961,1
48949293,1
54039707,1
74268516,1
61747586,2
73468379,1
11357536,1
57315445,1
98107193,1
36317156,1
87140045,2
3858417,1
3484037,3
22152722,2
57476767,1
76342541,2
45672997,1
56546990,1
95346355,2
33870599,1
48651179,3
66744667,3
33429510,1
29185964,1
22782756,1
93139781,1
40786744,1
6137983,2
44476577,1
451424,1
36633039,3
59841829,1
86808792,1
44607177,2
94259414,2
93524061,1
40513594,1
97015202,1
94354381,2
49608182,1
12910803,1
7510007,1
81843718,1
2368054,2
38850660,3
86780562,1
80159546,1
31891030,2
65616811,1
50402056,1
60253225,1
58193137,1
10638256,2
89721533,2
39259056,1
81117513,1
62838233,1
16279861,1
81200609,1
67118671,1
49644870,2
50082265,1
20794778,3
73042352,1
18409964,1
70788551,1
42004070,2
34115215,2
84539295,1
60111231,1
56321763,2
17905639,2
52664408,2
98921286,1
46096867,2
51499029,2
9425826,1
61763538,1
68767075,1
24065252,2
56151689,1
95687144,2
51881559,1
32939582,1
269319,1
87676829,1
77358652,1
92544167,1
87927325,1
38001139,2
4542842,1
70512641,1
52717568,2
67352978,3
4734692,1
83194140,1
93223407,2
65758952,1
91585570,1
59665742,1
17786035,3
74306619,1
44014777,2
88020741,2
56480485,1
36492621,1
72255960,2
96786267,1
36743163,2
61808366,1
4084643,2
55305311,1
6656692,1
35268612,1
30099568,1
49913126,1
81650927,2
47515896,2
21898328,1
73043218,1
65630542,1
63409154,1
25080457,1
19836054,1
